"Date","Price","Open","High","Low","Vol.","Change %"
"02/17/2025","1,615.02","1,605.24","1,615.18","1,598.35","20.46M","0.67%"
"02/14/2025","1,604.29","1,601.44","1,604.29","1,594.19","21.70M","0.21%"
"02/13/2025","1,600.97","1,566.61","1,600.98","1,565.97","46.01M","2.49%"
"02/12/2025","1,562.04","1,550.80","1,562.09","1,550.50","33.05M","0.85%"
"02/11/2025","1,548.93","1,549.90","1,554.79","1,546.82","19.42M","-0.19%"
"02/10/2025","1,551.90","1,557.25","1,557.25","1,546.53","22.83M","-0.38%"
"02/07/2025","1,557.83","1,544.25","1,557.83","1,544.25","23.98M","0.86%"
"02/06/2025","1,544.49","1,522.51","1,544.49","1,522.51","28.35M","1.79%"
"02/05/2025","1,517.35","1,521.23","1,521.86","1,514.50","20.06M","-0.23%"
"02/04/2025","1,520.82","1,512.67","1,521.98","1,512.67","34.33M","0.88%"
"02/03/2025","1,507.50","1,529.47","1,530.49","1,505.48","42.96M","-2.70%"
"01/31/2025","1,549.32","1,553.20","1,557.01","1,549.31","23.78M","-0.09%"
"01/30/2025","1,550.72","1,548.36","1,550.80","1,535.35","21.38M","0.30%"
"01/29/2025","1,546.03","1,547.27","1,553.86","1,544.53","24.90M","0.03%"
"01/28/2025","1,545.62","1,539.31","1,549.16","1,539.31","24.44M","0.37%"
"01/27/2025","1,539.88","1,538.02","1,543.33","1,528.88","21.30M","-0.28%"
"01/24/2025","1,544.13","1,531.59","1,549.43","1,531.59","27.83M","0.95%"
"01/23/2025","1,529.57","1,531.32","1,536.04","1,526.78","115.09M","-0.07%"
"01/22/2025","1,530.68","1,539.50","1,541.29","1,530.19","28.97M","-0.57%"
"01/21/2025","1,539.48","1,531.54","1,539.72","1,529.29","19.98M","0.56%"
"01/20/2025","1,530.87","1,525.07","1,530.91","1,523.74","25.23M","0.41%"
"01/17/2025","1,524.67","1,507.30","1,524.67","1,507.30","38.67M","1.18%"
"01/16/2025","1,506.83","1,507.71","1,509.62","1,501.82","24.36M","0.24%"
"01/15/2025","1,503.18","1,494.36","1,503.47","1,492.28","25.91M","0.67%"
"01/14/2025","1,493.11","1,494.44","1,498.76","1,490.57","22.91M","0.19%"
"01/13/2025","1,490.22","1,499.13","1,499.13","1,487.71","27.11M","-0.90%"
"01/10/2025","1,503.73","1,509.38","1,514.35","1,503.73","28.26M","-0.48%"
"01/09/2025","1,510.93","1,505.44","1,511.56","1,500.21","34.28M","0.30%"
"01/08/2025","1,506.48","1,505.08","1,509.24","1,497.85","39.39M","-0.01%"
"01/07/2025","1,506.61","1,490.14","1,506.93","1,485.83","43.29M","1.33%"
"01/03/2025","1,486.83","1,482.17","1,490.87","1,474.85","20.51M","0.40%"
"01/02/2025","1,480.98","1,470.31","1,480.98","1,469.79","15.34M","0.77%"
"12/31/2024","1,469.67","1,457.74","1,469.67","1,457.74","16.91M","0.92%"
"12/30/2024","1,456.31","1,456.50","1,461.83","1,454.86","20.11M","-0.07%"
"12/27/2024","1,457.38","1,449.63","1,459.36","1,446.99","14.90M","0.59%"
"12/23/2024","1,448.86","1,453.27","1,458.45","1,448.85","16.30M","-0.25%"
"12/20/2024","1,452.50","1,452.64","1,456.07","1,446.09","55.00M","-0.26%"
"12/19/2024","1,456.28","1,442.33","1,456.28","1,440.24","19.45M","0.04%"
"12/18/2024","1,455.67","1,453.80","1,458.23","1,452.55","45.46M","0.20%"
"12/17/2024","1,452.80","1,463.59","1,465.09","1,451.33","24.37M","-0.80%"
"12/16/2024","1,464.48","1,464.60","1,466.98","1,458.26","28.66M","-0.33%"
"12/13/2024","1,469.32","1,464.64","1,470.44","1,464.64","20.81M","0.36%"
"12/12/2024","1,464.03","1,456.86","1,466.11","1,456.86","30.65M","0.44%"
"12/11/2024","1,457.60","1,455.03","1,461.18","1,454.69","21.16M","-0.08%"
"12/10/2024","1,458.81","1,461.67","1,468.22","1,458.81","32.37M","-0.42%"
"12/09/2024","1,464.96","1,450.68","1,465.15","1,450.68","32.36M","0.58%"
"12/06/2024","1,456.52","1,454.72","1,460.74","1,452.18","30.76M","0.05%"
"12/05/2024","1,455.81","1,439.97","1,457.46","1,439.08","50.57M","1.32%"
"12/04/2024","1,436.79","1,429.89","1,437.99","1,427.95","31.98M","0.53%"
"12/03/2024","1,429.22","1,429.55","1,435.62","1,423.54","31.11M","0.34%"
"12/02/2024","1,424.33","1,399.30","1,426.40","1,399.30","35.50M","2.21%"
"11/29/2024","1,393.49","1,402.04","1,406.43","1,393.49","26.34M","-0.74%"
"11/28/2024","1,403.83","1,404.76","1,410.41","1,400.40","96.13M","0.01%"
"11/27/2024","1,403.63","1,408.84","1,411.56","1,396.60","20.49M","-0.31%"
"11/26/2024","1,408.05","1,408.27","1,412.29","1,401.42","13.85M","0.13%"
"11/25/2024","1,406.20","1,403.14","1,410.67","1,400.51","40.58M","0.33%"
"11/22/2024","1,401.58","1,399.82","1,403.88","1,390.58","19.85M","0.28%"
"11/21/2024","1,397.63","1,385.47","1,399.30","1,380.22","15.89M","0.94%"
"11/20/2024","1,384.60","1,372.69","1,389.19","1,372.69","19.08M","1.31%"
"11/19/2024","1,366.72","1,392.50","1,397.53","1,359.95","35.36M","-1.85%"
"11/18/2024","1,392.44","1,399.93","1,401.06","1,381.70","29.34M","-0.81%"
"11/15/2024","1,403.87","1,414.59","1,414.59","1,403.23","33.59M","-0.96%"
"11/14/2024","1,417.50","1,419.39","1,421.00","1,414.47","32.76M","-0.14%"
"11/13/2024","1,419.51","1,428.39","1,430.83","1,414.99","36.87M","-0.80%"
"11/12/2024","1,430.91","1,426.18","1,434.28","1,422.02","38.16M","0.18%"
"11/11/2024","1,428.40","1,415.42","1,428.40","1,415.42","37.97M","1.08%"
"11/08/2024","1,413.13","1,408.42","1,415.83","1,408.42","43.10M","0.33%"
"11/07/2024","1,408.50","1,408.79","1,412.73","1,404.77","19.72M","0.00%"
"11/06/2024","1,408.57","1,412.85","1,424.79","1,406.12","34.61M","0.64%"
"11/05/2024","1,399.66","1,391.86","1,399.73","1,391.66","29.20M","0.65%"
"11/04/2024","1,390.65","1,386.72","1,392.09","1,385.63","15.31M","0.01%"
"11/01/2024","1,390.49","1,383.89","1,396.00","1,383.89","27.55M","0.56%"
"10/31/2024","1,382.68","1,382.09","1,392.41","1,378.36","32.63M","0.06%"
"10/30/2024","1,381.83","1,402.33","1,402.77","1,377.23","31.21M","-1.38%"
"10/29/2024","1,401.18","1,397.45","1,409.71","1,397.45","51.64M","0.79%"
"10/25/2024","1,390.25","1,401.71","1,404.54","1,387.42","27.93M","-0.88%"
"10/24/2024","1,402.60","1,406.09","1,415.71","1,398.58","30.38M","-0.32%"
"10/23/2024","1,407.14","1,418.39","1,419.95","1,405.39","30.90M","-0.53%"
"10/22/2024","1,414.65","1,438.26","1,440.83","1,414.01","30.54M","-1.67%"
"10/21/2024","1,438.72","1,441.02","1,445.11","1,432.27","16.50M","-0.34%"
"10/18/2024","1,443.57","1,439.19","1,444.46","1,439.19","20.24M","0.34%"
"10/17/2024","1,438.67","1,428.08","1,438.67","1,428.08","21.31M","0.60%"
"10/16/2024","1,430.09","1,422.52","1,430.67","1,420.69","20.16M","0.45%"
"10/15/2024","1,423.74","1,412.87","1,423.95","1,412.68","20.27M","0.87%"
"10/14/2024","1,411.49","1,421.18","1,424.19","1,410.77","16.44M","-0.37%"
"10/11/2024","1,416.78","1,411.87","1,417.42","1,408.72","24.09M","0.37%"
"10/10/2024","1,411.61","1,420.03","1,422.30","1,411.56","23.25M","-0.54%"
"10/09/2024","1,419.27","1,428.82","1,430.77","1,418.38","42.27M","-0.56%"
"10/08/2024","1,427.29","1,426.60","1,427.42","1,418.87","23.41M","-0.17%"
"10/07/2024","1,429.73","1,435.57","1,440.75","1,428.39","34.78M","-0.57%"
"10/04/2024","1,437.88","1,418.83","1,438.05","1,418.83","33.50M","1.37%"
"10/03/2024","1,418.42","1,424.35","1,427.24","1,416.19","118.94M","-0.73%"
"10/02/2024","1,428.81","1,439.43","1,439.43","1,423.93","46.35M","-1.26%"
"10/01/2024","1,447.03","1,454.35","1,459.12","1,447.03","20.46M","-0.34%"
"09/30/2024","1,451.90","1,466.81","1,469.49","1,451.09","27.77M","-1.14%"
"09/27/2024","1,468.70","1,471.40","1,474.34","1,465.76","26.33M","-0.17%"
"09/26/2024","1,471.26","1,462.37","1,474.67","1,462.37","27.80M","0.63%"
"09/25/2024","1,462.06","1,453.33","1,462.06","1,449.14","19.74M","0.55%"
"09/24/2024","1,454.10","1,445.35","1,454.31","1,445.25","30.28M","0.80%"
"09/23/2024","1,442.53","1,424.82","1,444.13","1,421.91","38.58M","1.22%"
"09/20/2024","1,425.19","1,429.56","1,432.23","1,422.93","49.06M","-0.22%"
"09/19/2024","1,428.39","1,421.98","1,428.42","1,416.78","25.37M","0.63%"
"09/18/2024","1,419.50","1,427.90","1,433.39","1,417.85","12.71M","-0.72%"
"09/17/2024","1,429.79","1,425.83","1,429.79","1,421.15","24.38M","0.43%"
"09/16/2024","1,423.61","1,419.39","1,423.61","1,413.85","15.75M","0.31%"
"09/13/2024","1,419.24","1,410.29","1,419.50","1,405.55","19.79M","0.88%"
"09/12/2024","1,406.91","1,418.81","1,425.17","1,405.18","31.99M","-0.47%"
"09/11/2024","1,413.54","1,425.78","1,429.91","1,412.57","18.75M","-0.88%"
"09/10/2024","1,426.10","1,439.11","1,441.27","1,426.07","19.23M","-0.56%"
"09/09/2024","1,434.17","1,441.48","1,443.16","1,434.17","12.09M","-0.62%"
"09/06/2024","1,443.13","1,440.24","1,443.78","1,437.66","14.88M","-0.24%"
"09/05/2024","1,446.56","1,439.93","1,448.31","1,439.93","18.50M","0.75%"
"09/04/2024","1,435.79","1,435.84","1,436.20","1,426.87","20.46M","-0.71%"
"09/03/2024","1,446.09","1,446.47","1,450.42","1,444.48","15.89M","-0.01%"
"09/02/2024","1,446.17","1,432.78","1,446.21","1,432.04","16.36M","1.05%"
"08/30/2024","1,431.19","1,428.65","1,431.33","1,424.59","50.34M","0.30%"
"08/29/2024","1,426.91","1,425.73","1,428.70","1,420.40","20.04M","0.11%"
"08/28/2024","1,425.36","1,434.01","1,439.51","1,424.99","17.76M","-0.50%"
"08/27/2024","1,432.46","1,440.26","1,447.64","1,432.31","11.67M","-0.36%"
"08/26/2024","1,437.68","1,433.07","1,438.87","1,430.06","14.16M","0.35%"
"08/23/2024","1,432.60","1,439.90","1,441.39","1,432.26","13.61M","-0.24%"
"08/22/2024","1,436.11","1,431.54","1,436.25","1,429.26","17.23M","0.25%"
"08/21/2024","1,432.53","1,425.17","1,434.58","1,425.17","14.09M","0.49%"
